Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 44.00 lux data0: 53 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 43.00 lux data0: 53 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 43.00 lux data0: 53 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 44.00 lux data0: 54 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 45.00 lux data0: 55 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
Infrared Value : 10.00  Visible Value: 46.00 lux data0: 56 lux data1: 00 lux data2: 10 lux data3: 00 lux 
